0,40,41,1,i
1,0,2,3,it
1,28,29,1,i
2,0,2,1,my
2,14,15,1,i
3,0,1,1,i
3,15,17,1,me
3,63,64,1,i
4,0,1,1,i
4,60,62,3,it
5,5,7,1,we
5,36,37,1,i
6,0,2,1,we
8,35,36,1,i
9,0,2,3,it
10,0,1,1,i
10,59,61,1,we
10,124,126,1,we
11,15,17,3,it
12,0,2,1,my
12,31,33,1,us
12,40,42,1,me
12,60,62,1,my
12,79,81,1,my
13,16,17,1,i
13,23,24,1,i
13,46,48,1,my
15,13,14,1,i
18,63,65,1,we
18,79,81,3,it
23,0,2,3,it
23,25,28,1,our
23,50,51,1,i
23,80,82,3,it
24,0,1,1,i
24,84,86,1,me
26,29,31,1,my
27,41,42,1,i
27,50,52,3,it
28,39,40,1,i
29,0,1,1,i
30,4,6,3,it
32,25,26,1,i
32,51,52,1,i
32,100,103,3,its
34,39,41,1,we
35,0,2,1,we
35,23,26,1,our
35,83,85,1,us
37,0,2,3,it
37,28,31,2,you
37,57,60,2,you
37,88,91,2,you
38,40,42,3,he
38,46,49,3,she
