0,42,45,0,0
0,12,15,0,0
1,3,6,0,0
2,61,65,0,0
2,16,33,0,0
3,214,222,0,1
3,107,114,0,0
3,2,9,0,0
4,2,5,0,0
5,38,43,0,0
5,8,15,0,0
6,3,8,0,0
7,86,89,0,0
7,58,67,1,0
7,11,31,1,0
8,37,45,0,0
9,60,69,0,0
9,38,45,0,0
9,3,9,0,0
10,132,138,0,0
10,73,76,0,0
10,62,72,0,0
10,2,15,0,0
11,61,80,0,0
11,18,22,0,0
12,35,39,0,0
12,15,30,0,0
13,59,61,0,1
13,18,22,0,0
14,16,19,0,0
15,30,33,0,0
15,15,21,0,0
16,14,18,0,1
17,15,18,0,0
18,66,69,0,0
23,52,55,0,0
23,3,6,0,0
24,55,58,0,0
25,14,17,0,0
26,16,27,0,0
27,53,66,1,1
27,43,46,0,0
28,41,44,0,0
29,114,120,0,0
29,2,10,0,0
30,7,10,0,0
32,93,99,0,0
32,53,63,0,0
32,27,49,0,0
33,12,16,0,0
34,59,64,0,0
34,42,57,0,0
35,72,82,0,0
35,3,6,0,0
36,62,79,0,2
37,92,99,0,2
37,61,76,0,2
37,3,5,0,1
38,50,57,0,1
38,33,35,0,1
38,5,12,0,1
